ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
1,1,79,1,1,1,1,1,2,2,1,1,1,2,0,0,3,21,1,1,1,1,2,1,1,1,1,1,2,1,1
2,1,41,0,0,0,1,0,1,1,1,0,1,0,0,1,3,32,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4,87,1,1,1,2,2,2,1,1,1,0,1,2,1,2,75,2,2,1,2,1,2,2,2,2,2,1,1,2
4,4,0,2,2,2,2,2,2,2,1,2,1,2,1,1,2,35,2,2,1,2,1,1,1,1,1,1,1,1,1
5,2,78,1,2,2,2,2,2,2,2,2,2,2,1,1,2,35,1,2,1,2,2,1,1,1,2,1,1,1,1
6,4,70,2,2,2,2,2,2,2,1,2,1,2,2,1,4,29,2,2,2,2,1,2,2,2,2,2,2,2,2
7,2,10,2,1,0,1,1,0,1,0,0,0,1,1,0,3,0,2,1,1,1,2,2,1,2,1,1,2,1,1
8,4,109,2,2,2,2,2,2,2,2,2,2,2,2,1,4,36,2,2,2,2,2,2,2,2,2,2,2,2,1
9,4,61,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,2,2,2,2,2,2,2,2,2,2,2,2,2
10,2,67,1,2,1,1,1,1,1,1,1,2,1,2,1,4,76,2,2,2,2,2,2,2,2,2,2,2,2,2
11,3,95,2,1,1,1,2,1,2,1,2,0,1,2,1,3,0,1,2,1,2,1,1,2,1,2,1,1,1,1
12,3,50,0,1,1,1,0,1,1,1,1,2,1,1,1,3,62,0,2,1,2,2,2,2,2,2,2,2,1,1
13,2,28,1,1,2,2,1,2,2,1,2,2,1,2,1,2,54,1,1,2,1,2,1,1,1,1,1,1,1,1
14,2,83,2,2,0,2,2,1,2,2,1,1,1,1,1,3,106,2,1,1,1,2,2,2,1,2,2,1,2,1
15,3,43,2,2,2,2,2,2,2,1,2,2,2,1,2,3,12,1,2,1,2,1,2,1,1,1,1,1,1,1
16,2,0,1,2,2,2,1,1,2,1,2,1,2,2,2,3,19,1,1,1,1,2,2,1,1,2,2,2,1,1
17,3,45,2,2,2,2,2,2,1,1,2,2,1,2,0,2,37,2,2,1,1,2,1,1,1,1,1,1,1,0
18,4,21,2,2,2,2,2,2,2,1,1,1,1,1,2,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
19,3,15,1,1,2,1,1,1,1,1,1,1,2,2,1,3,15,1,2,1,2,2,2,2,1,2,1,2,1,2
20,3,93,2,2,1,1,1,2,2,1,1,2,2,1,1,3,40,2,2,2,2,1,2,2,2,1,2,1,0,1
21,4,109,1,2,2,1,1,2,2,2,2,1,2,2,1,2,81,1,2,2,2,1,1,1,0,1,1,1,0,1
22,2,16,1,2,1,2,0,1,1,1,1,2,1,1,1,3,21,1,2,2,2,1,1,2,1,1,2,1,0,1
23,2,131,1,2,1,1,1,2,1,2,2,1,1,1,0,3,66,2,2,2,2,2,2,1,2,2,1,1,1,2
24,2,59,1,0,1,1,0,1,2,0,1,1,1,1,0,3,65,2,1,1,1,1,2,1,0,1,1,0,0,1
25,3,96,1,1,2,2,1,2,2,2,1,2,2,2,2,4,31,1,2,2,2,2,2,2,2,2,2,2,2,1
26,2,76,2,2,1,2,2,2,2,1,2,2,2,1,1,4,66,2,2,2,2,2,2,2,2,2,1,2,2,2
27,3,71,2,1,2,1,2,1,2,2,1,1,2,1,1,3,21,1,2,1,1,1,1,1,1,2,1,1,1,1
28,2,61,1,1,1,1,0,2,1,1,2,1,2,1,1,2,0,1,1,1,1,1,1,0,1,0,1,0,0,1
29,2,14,2,2,2,2,2,1,2,1,2,1,1,1,2,2,48,1,2,1,1,2,1,1,1,1,1,1,1,2
30,3,90,2,2,1,2,2,2,2,2,2,2,2,2,2,4,97,2,1,1,1,2,2,2,2,2,2,2,2,1
31,4,149,2,2,1,2,2,2,2,2,2,2,2,2,2,4,93,2,2,1,2,2,2,2,2,1,2,1,2,1
32,4,22,2,1,1,2,2,1,1,0,1,1,1,2,2,3,16,2,2,2,2,2,1,1,1,1,1,2,2,2
33,3,0,1,2,2,2,0,1,1,0,1,2,2,1,0,2,0,1,2,0,2,2,2,1,2,1,1,1,1,1
34,3,72,2,1,1,1,2,1,2,2,2,2,2,1,1,3,72,2,2,2,2,2,2,2,1,2,2,2,1,2
35,3,47,2,2,2,2,2,1,1,1,2,1,1,1,1,3,27,2,2,2,2,2,2,2,2,2,1,1,2,1
36,3,99,1,1,1,1,1,1,1,2,2,1,2,2,1,4,40,1,2,2,2,2,2,2,1,2,2,1,2,2
37,3,113,1,2,2,2,2,1,2,1,1,2,2,1,1,4,52,2,2,2,2,2,2,2,2,2,2,2,2,2
38,4,108,2,2,1,2,1,2,2,2,1,2,1,2,1,4,54,2,2,2,2,2,2,2,2,2,1,2,2,1
39,3,55,1,2,1,2,1,1,2,1,2,2,1,2,1,2,19,1,1,0,1,2,2,1,1,2,2,1,2,1
40,4,13,1,2,1,2,2,2,2,1,2,0,1,1,1,2,0,1,1,1,1,1,0,1,0,1,1,0,0,1
41,3,11,1,1,2,1,1,1,2,1,2,2,1,1,1,4,30,1,2,1,2,2,2,2,1,1,2,2,2,1
42,3,48,2,2,2,2,2,1,2,1,2,2,2,2,1,3,99,1,2,1,2,2,2,2,1,1,1,1,2,1
43,3,114,2,1,2,2,2,1,1,2,2,1,1,1,1,4,37,2,2,2,2,2,2,1,2,2,1,1,2,2
