ID,assessment-result,reflection-length,item-1,item-2,item-3,item-4,item-5,item-6,item-7,item-8,item-9,item-10,item-11,item-12,item-13
1,4,80,1,2,2,2,2,2,2,2,2,2,2,2,2
2,3,0,1,2,1,2,2,2,2,2,2,2,2,1,1
3,3,23,2,2,2,2,2,2,2,2,2,1,1,1,1
4,2,75,1,2,0,1,1,1,1,1,1,1,0,1,0
5,2,84,2,1,1,1,2,1,1,2,2,1,0,1,1
6,4,81,1,2,2,1,1,2,2,1,2,1,2,2,1
7,3,62,2,2,2,2,2,2,2,2,1,1,1,2,2
8,2,82,1,2,1,2,2,2,2,1,2,1,1,1,1
9,2,79,2,2,1,2,1,1,1,1,1,1,1,1,0
10,4,68,1,2,2,2,2,2,2,2,2,2,2,2,1
11,2,63,1,2,1,1,1,1,1,0,1,1,0,1,1
12,2,0,2,1,1,1,1,1,1,1,1,2,1,1,1
13,3,27,1,2,1,1,1,1,2,1,1,2,2,1,1
14,3,131,1,2,2,2,1,2,1,2,2,2,1,2,1
15,3,71,1,2,2,2,1,1,2,2,2,1,2,2,2
16,3,75,2,2,2,2,2,2,2,2,2,2,1,1,0
17,4,155,2,2,2,2,2,2,2,2,2,2,2,2,2
18,4,156,1,1,1,1,2,2,2,1,2,2,2,2,2
19,1,8,1,2,1,1,1,1,2,1,2,1,1,1,1
20,3,0,1,2,2,2,2,2,1,1,2,2,2,2,1
21,2,56,1,1,2,1,1,1,1,1,1,1,1,1,1
22,3,54,2,2,2,2,2,2,2,2,2,2,2,2,2
23,3,0,2,2,1,2,1,1,1,1,1,1,1,1,1
24,2,0,2,1,1,1,2,1,2,2,1,2,1,2,2
25,2,17,1,1,1,1,1,1,1,1,2,1,1,1,1
26,3,83,1,2,1,2,1,1,2,1,1,1,2,1,1
27,3,98,2,2,1,2,2,2,1,1,1,1,1,1,1
28,2,0,2,2,1,2,1,1,2,1,1,2,2,1,1
29,2,107,2,2,2,2,1,1,2,1,2,1,1,1,1
30,4,103,2,2,2,1,1,1,1,1,2,2,1,1,2
31,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1
32,2,53,2,2,1,2,2,2,2,1,2,1,2,2,2
33,1,86,1,2,1,2,1,0,2,0,2,1,2,2,1
34,3,51,1,1,2,2,1,1,2,0,1,2,1,2,1
35,4,39,1,1,1,2,2,2,2,2,2,2,1,2,2
36,2,66,2,0,0,1,1,1,1,1,1,1,1,1,0
37,4,32,2,2,2,2,2,2,2,2,2,1,2,2,2
38,2,74,1,1,1,2,1,2,1,1,1,1,1,1,1
39,1,6,1,1,0,1,0,1,1,0,1,1,1,1,1
40,3,98,2,2,2,2,2,2,2,1,2,2,1,2,1
41,2,45,1,1,1,1,1,1,1,0,2,1,1,1,1
42,2,44,1,2,1,1,1,1,1,2,1,1,0,0,2
43,2,69,2,2,1,1,1,1,1,1,1,1,2,1,2
44,3,60,2,2,2,2,1,1,1,2,2,2,1,1,1
45,2,0,1,2,2,2,2,2,2,2,2,1,1,2,1
46,3,148,1,2,2,2,2,2,2,2,2,2,2,2,1
47,3,0,1,2,1,2,2,1,1,1,1,1,1,2,1
48,3,21,2,2,2,2,1,2,2,2,2,1,2,1,1
49,2,158,1,1,1,1,2,1,0,1,1,2,1,2,1
50,3,88,1,2,1,2,2,2,2,2,2,2,1,1,2
51,2,5,2,1,1,2,2,2,2,2,2,2,2,2,2
52,3,88,2,1,2,1,1,1,1,1,1,1,2,1,1
53,3,67,1,1,1,1,1,2,1,1,1,0,1,1,0
54,4,38,2,2,2,2,2,2,2,2,1,2,1,1,2
55,3,0,2,2,1,2,1,2,2,2,2,2,1,2,2
56,4,75,1,2,2,2,2,2,2,1,1,1,1,1,1
57,2,76,2,2,2,2,2,2,2,2,2,2,2,2,2
58,4,53,2,2,2,2,2,2,2,2,2,2,2,2,2
59,3,57,2,2,2,2,2,2,1,1,2,2,1,1,2
60,4,46,2,2,2,2,2,2,2,2,2,2,2,2,1
61,4,56,1,1,1,2,2,1,2,0,1,1,2,2,1
62,2,57,1,1,1,1,1,1,1,2,1,1,1,1,1
63,2,106,1,2,1,2,1,1,1,1,1,1,1,1,0
64,3,1,2,1,1,1,2,2,2,1,1,2,2,2,2
65,3,75,2,2,2,2,1,2,2,2,2,1,1,2,1
66,3,0,2,2,1,1,2,2,1,1,1,1,1,1,2
67,4,54,1,2,2,2,1,1,1,2,2,2,1,1,1
68,4,71,1,1,1,1,2,2,2,1,2,2,1,1,2
69,3,29,1,2,1,2,1,2,2,2,2,2,2,2,2
70,3,0,0,2,1,1,1,2,2,2,2,2,2,2,2
71,2,97,1,1,2,1,1,1,1,1,1,1,1,1,1
72,3,50,2,2,1,2,2,2,2,2,2,2,1,2,1
73,3,112,2,1,1,2,1,1,1,1,1,1,1,1,1
74,3,0,1,2,2,2,2,2,2,2,2,2,2,2,2
75,2,48,2,2,1,1,1,1,1,1,1,1,1,1,1
76,3,82,1,2,1,2,2,1,1,2,2,2,1,1,1
77,2,103,2,2,2,2,2,2,2,2,2,2,1,2,2
78,4,32,2,2,2,2,2,2,2,2,2,1,2,1,2
79,2,108,1,1,0,1,1,2,2,1,1,1,2,1,1
80,3,69,0,2,1,2,2,1,2,1,2,2,1,2,2
81,3,0,1,1,1,2,1,2,2,2,1,1,1,1,2
82,2,8,1,1,1,2,2,2,1,1,2,2,0,0,1
83,2,6,2,1,0,2,1,1,1,1,1,1,2,2,2
84,3,65,1,2,2,2,1,2,2,2,2,2,2,2,1
85,2,121,0,2,1,1,1,1,1,1,2,1,1,1,1
86,2,70,1,2,1,2,0,1,1,0,1,1,1,1,1
87,3,0,2,2,2,2,2,1,1,1,2,1,2,2,1
88,4,64,2,2,2,2,2,2,1,1,2,2,1,1,2
89,3,128,1,2,2,2,2,1,2,2,2,2,2,2,2
90,3,126,1,1,1,1,2,1,1,1,1,1,1,1,1
91,3,0,1,2,2,1,1,2,2,1,1,1,2,1,1
92,2,67,2,2,1,2,2,2,2,2,1,2,2,2,2
93,4,68,2,1,2,2,2,1,1,1,1,1,1,0,1
94,3,37,1,1,1,1,2,2,2,0,1,1,1,1,1
95,3,43,2,2,2,2,2,2,1,1,1,1,1,1,1
96,2,120,1,2,1,0,1,1,1,2,1,1,1,2,1
97,3,127,1,1,2,2,0,1,2,2,2,1,1,1,1
98,3,94,2,1,2,1,2,1,2,2,2,1,1,2,1
99,2,20,1,1,1,1,1,1,2,1,2,1,2,0,2
100,2,8,1,1,1,1,2,1,1,1,1,1,2,1,1
101,2,35,2,2,1,2,1,1,2,1,1,2,2,2,1
102,3,71,1,1,2,2,2,2,2,2,2,2,1,2,1
103,2,70,1,1,1,1,0,1,0,1,1,1,2,1,1
104,4,83,2,2,2,1,2,2,2,2,2,2,2,1,1
105,3,59,2,2,2,2,1,1,2,2,2,2,1,2,2
106,2,60,2,2,1,1,2,2,2,2,2,1,2,1,1
107,3,73,2,2,1,2,1,2,2,2,1,1,2,1,1
108,2,113,2,1,0,1,2,1,1,1,1,1,1,1,0
109,3,77,1,2,1,2,1,2,2,2,2,2,2,2,1
110,2,0,1,1,2,1,1,2,1,1,1,1,1,1,1
111,2,81,2,1,1,1,1,1,1,1,1,1,0,0,0
112,3,97,2,2,1,2,1,1,2,1,2,2,2,1,2
113,3,58,2,1,1,1,1,1,1,2,1,2,2,1,1
114,4,42,2,2,2,1,2,2,2,2,2,2,2,2,2
115,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2
116,3,102,1,1,1,2,2,2,2,2,2,1,1,1,1
117,3,118,1,1,1,2,1,2,1,1,1,2,1,2,1
118,3,68,1,2,1,2,2,2,2,2,2,2,1,2,1
119,2,0,2,2,1,2,1,1,2,1,1,1,1,2,1
120,3,13,1,2,2,2,2,2,2,2,2,2,2,2,2
121,3,47,1,2,2,2,1,2,2,1,2,1,2,1,1
122,3,69,2,1,1,1,2,2,1,1,1,1,2,0,1
123,3,135,2,2,2,1,1,2,2,1,1,1,1,1,1
124,3,124,2,1,1,1,2,1,2,1,2,1,1,1,1
125,3,7,2,2,2,2,1,2,2,2,2,2,2,2,1
126,1,109,1,1,0,1,1,1,2,1,1,1,2,1,0
127,4,0,1,2,1,2,2,2,2,2,2,2,2,2,2
128,3,95,2,2,2,2,2,2,2,2,2,1,2,2,2
129,3,53,2,2,1,1,1,1,1,0,2,1,1,2,1
130,2,58,1,1,1,1,2,1,2,1,1,2,1,2,1
131,3,113,2,2,1,2,0,1,1,1,0,1,1,1,1
132,4,0,2,2,2,2,2,1,2,2,2,1,1,2,1
133,4,84,2,2,2,2,2,2,2,2,2,2,2,2,2
134,2,52,1,2,1,2,2,2,1,2,1,1,1,1,0
135,2,53,2,2,2,2,2,2,2,1,2,2,2,1,1
136,3,49,1,2,2,2,2,1,2,2,2,1,1,2,2
137,3,21,1,1,1,1,2,2,2,2,2,2,2,2,2
138,3,68,2,2,2,2,2,2,2,2,2,2,1,1,1
139,3,16,2,2,1,2,2,1,1,1,2,2,2,2,1
140,3,64,0,1,1,1,2,0,1,1,1,1,1,1,0
141,3,64,1,1,1,2,1,1,2,2,2,2,2,1,1
142,4,80,2,2,2,2,2,2,2,2,2,2,2,2,2
143,3,28,1,1,1,1,2,1,2,1,0,1,1,0,0
144,4,12,2,2,2,2,2,2,2,1,2,2,2,1,1
145,2,20,0,1,1,0,0,1,2,0,1,1,0,1,0
146,3,102,2,1,2,2,2,2,2,1,1,2,1,2,1
147,3,12,2,1,2,2,1,2,2,1,1,0,2,1,2
148,2,84,1,1,1,1,2,1,0,0,1,0,1,1,0
149,3,0,1,1,1,1,2,2,1,1,1,1,1,2,2
150,2,0,1,2,1,1,1,1,0,1,2,1,1,2,1
151,3,16,1,1,2,2,1,1,2,1,1,1,1,1,2
152,2,61,1,1,1,1,1,2,2,2,1,2,1,2,1
153,2,105,0,0,1,1,1,2,2,1,1,1,1,1,1
154,2,52,1,2,2,2,2,1,2,1,1,2,1,1,1
155,2,7,2,1,1,2,1,2,1,1,1,1,1,2,1
156,4,57,0,1,2,2,2,2,2,2,2,2,2,1,2
157,3,51,2,2,1,2,2,2,2,2,1,2,1,2,1
158,3,71,1,1,1,1,1,1,2,2,2,1,1,2,2
159,3,98,2,1,1,1,1,1,1,2,2,1,2,1,1
160,2,58,2,2,2,2,2,1,1,1,2,1,2,1,1
161,4,84,2,2,2,2,2,2,1,2,1,2,2,1,2
162,2,69,2,1,1,1,1,2,1,0,1,1,0,1,1
163,2,104,2,1,1,1,1,1,1,1,2,1,1,1,0
164,4,96,2,2,2,2,2,2,2,2,2,2,1,2,2
165,1,28,0,1,1,2,1,0,0,1,1,0,0,1,1
166,4,0,1,2,2,1,2,2,2,2,2,2,2,2,2
167,2,36,0,1,1,1,2,1,1,1,1,2,2,2,1
168,3,60,1,1,1,2,1,1,1,2,1,1,1,1,1
169,3,61,2,2,2,2,2,2,2,1,2,2,1,2,1
170,3,5,1,2,2,2,2,2,2,1,2,1,2,2,2
171,3,14,1,2,1,2,1,1,1,1,2,2,1,1,2
172,3,80,2,2,2,2,1,1,2,1,2,1,2,1,2
173,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
174,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
175,3,88,2,1,1,1,2,1,1,1,1,2,2,1,1
176,2,61,1,1,1,1,2,1,1,1,1,0,1,2,1
177,3,62,1,2,2,2,2,2,2,0,1,2,1,1,2
178,4,54,2,2,2,2,2,2,2,2,2,2,2,2,2
179,4,31,2,2,2,2,1,2,2,2,2,2,2,2,2
180,3,84,2,2,2,2,2,1,1,1,1,1,2,1,2
181,3,58,2,2,2,2,2,1,1,2,2,2,1,1,1
182,3,0,2,1,0,1,1,0,1,1,1,1,1,1,2
183,4,7,2,1,2,1,1,2,2,2,1,2,1,0,1
184,3,0,1,1,1,2,1,2,2,2,2,2,1,1,2
185,2,80,1,2,2,2,2,2,2,2,2,2,2,2,1
186,2,32,2,2,1,2,2,2,2,2,2,2,1,2,1
