ID,w3-assessment-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessment-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
1,1,94,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,35,0,0,1,1,1,2,0,1,1,1,2,1
2,3,93,1,2,1,1,2,2,2,1,2,0,1,1,0,3,58,2,2,2,1,2,2,2,2,1,0,1,2,0
3,2,118,1,1,1,1,0,2,2,1,0,2,1,1,1,3,81,2,1,1,2,1,2,2,1,1,2,2,0,2
4,4,110,1,1,2,2,1,2,2,1,2,2,2,1,2,4,14,1,1,2,2,2,2,2,1,1,2,2,2,2
5,2,69,2,2,1,1,0,1,2,2,1,1,1,0,1,2,99,2,1,1,2,0,0,2,2,1,0,0,0,1
6,3,56,1,1,1,1,1,1,1,0,2,1,2,2,0,4,115,2,1,2,2,0,2,2,0,2,2,2,2,1
7,4,86,2,1,2,1,2,1,1,2,2,1,1,2,2,1,83,2,0,1,2,2,2,2,2,1,0,0,1,1
8,4,33,2,2,2,2,2,2,2,1,1,2,2,2,2,4,118,2,2,2,2,2,1,2,2,1,2,2,2,2
9,2,79,1,1,1,2,1,1,1,1,1,1,1,1,0,2,10,1,0,0,2,2,2,0,1,1,1,2,1,0
10,1,119,0,1,0,1,1,0,0,0,0,1,1,1,0,3,84,0,2,0,1,2,1,1,0,1,2,1,2,1
11,2,74,0,0,1,2,1,2,2,1,1,0,1,2,1,3,70,0,1,0,2,0,2,2,2,1,1,0,2,1
12,2,13,2,2,1,2,1,1,1,1,0,0,1,2,2,4,48,2,2,2,1,2,0,2,0,1,0,2,2,2
13,3,49,1,1,2,0,2,1,2,2,2,1,0,2,1,3,115,1,1,2,0,2,1,2,2,2,1,0,2,0
14,3,38,1,2,2,1,1,2,1,2,2,2,2,1,2,3,36,1,2,1,2,1,2,2,2,1,2,2,1,2
15,1,7,0,1,1,0,0,0,1,0,1,0,1,1,1,2,0,1,1,1,1,1,1,2,1,1,2,1,1,1
16,4,49,2,2,1,2,2,2,2,2,1,2,2,2,1,3,29,2,2,1,2,2,1,2,2,2,1,2,1,2
17,2,112,1,1,1,1,1,1,1,1,1,1,0,1,1,3,51,1,2,2,2,1,1,2,2,2,1,2,1,2
18,1,13,1,0,0,1,1,0,1,0,0,1,1,0,1,2,43,1,2,1,1,1,1,1,2,1,1,2,2,1
19,3,30,2,1,1,1,2,2,1,1,2,0,1,2,1,4,64,2,2,2,1,2,2,2,2,1,2,2,2,1
20,2,116,1,1,1,0,1,1,1,1,1,1,0,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1
21,3,64,1,2,1,1,1,2,1,2,1,2,1,2,2,4,117,2,2,2,2,1,2,2,2,2,2,1,2,2
22,2,94,1,1,1,1,1,1,1,0,1,1,0,1,1,2,21,0,2,1,1,1,1,1,2,1,1,1,2,1
23,1,104,0,1,1,0,1,0,1,0,1,1,0,1,1,3,17,1,2,2,1,1,1,2,2,1,1,2,1,1
24,1,104,1,0,1,1,0,1,1,0,0,1,1,0,0,1,15,1,1,1,1,1,1,1,1,2,1,1,1,2
25,4,76,2,1,2,2,1,2,2,2,2,1,1,2,2,4,120,2,2,2,2,2,2,2,2,2,2,1,2,1
26,4,71,2,1,2,2,2,2,2,2,1,2,1,2,2,4,88,2,2,2,2,2,2,2,2,2,2,2,2,2
27,4,40,2,2,2,2,2,2,2,2,1,2,1,2,2,4,41,2,2,2,2,2,2,2,1,2,1,2,1,2
28,3,93,1,1,2,1,2,1,1,1,1,2,1,1,2,4,80,2,2,2,2,1,2,2,2,2,1,2,2,2
29,1,21,1,0,0,0,0,1,0,1,0,0,1,0,1,3,41,1,1,2,1,1,2,2,2,2,2,1,1,2
30,2,41,1,1,1,1,0,1,1,1,1,0,1,1,1,2,35,1,1,1,1,1,1,1,1,1,2,1,1,1
31,4,30,2,2,2,2,1,2,2,2,2,1,2,2,2,4,66,2,2,2,2,2,1,2,2,2,2,2,1,2
32,3,24,2,2,1,2,1,1,2,1,1,1,1,1,2,4,55,2,2,2,2,2,1,2,2,2,1,2,2,2
33,4,13,2,2,1,2,2,2,1,2,1,2,2,1,2,4,25,2,2,2,2,1,2,2,1,2,2,2,2,1
34,2,114,1,1,1,1,1,1,1,2,1,1,1,1,1,3,87,2,2,1,2,1,2,1,2,1,2,2,2,1
35,3,118,1,2,1,1,2,1,1,2,1,1,2,2,1,4,63,2,2,2,2,2,2,2,1,2,1,2,2,1
36,1,6,0,0,0,0,1,0,1,0,0,1,0,0,1,3,93,1,1,1,1,2,1,1,1,2,2,1,2,1
37,2,44,1,1,1,1,0,1,1,1,1,0,1,1,0,3,32,1,2,2,1,2,1,2,1,2,2,1,2,1
38,3,11,1,1,2,1,2,2,2,1,1,1,2,1,2,3,81,1,2,2,2,2,1,2,2,2,2,1,1,2
39,4,60,2,2,2,2,2,2,2,2,2,2,1,2,2,4,44,2,2,2,2,2,2,2,2,2,1,2,1,2
40,1,64,1,0,0,1,0,1,0,0,1,0,1,0,1,2,116,1,1,1,1,2,1,1,1,2,1,1,2,1
41,1,40,1,0,1,0,0,1,1,1,0,1,0,0,0,3,13,1,2,1,1,1,1,1,2,2,1,1,2,1
42,1,83,0,1,0,1,0,1,0,1,1,1,0,1,1,3,65,1,1,1,2,1,1,1,2,1,2,2,2,1
43,1,16,0,0,1,0,0,1,0,0,1,0,1,0,1,3,118,1,2,1,1,1,2,1,2,2,2,1,2,2
44,1,3,0,0,1,0,1,0,1,1,0,1,1,0,1,3,104,0,2,1,1,2,1,1,2,2,1,1,2,2
45,2,17,1,1,0,1,1,1,1,1,0,1,1,1,1,2,61,2,1,1,1,1,1,1,2,1,1,2,1,2
46,3,91,2,1,2,2,1,2,2,2,1,1,2,2,2,4,54,2,2,2,2,1,2,2,2,1,2,1,2,2
