ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
1,2.215140061,42.29006146,0.48767255,0.673539642,0.618414668,0.810036561,1.567181256,0.033367013,1.039383523,1.428277591,0.478875793,1.30894879,0.703533052,0.704304269,1.424583792,2.427240951,48.24066997,1.114129795,0.749964625,1.720769352,1.053655328,1.155291432,1.632663507,1.525102123,1.349538598,0.041804254,1.93600996,2.073331365,1.785569247,2.066672896
2,2.414285478,39.54240305,-0.045308739,0.147341153,0.348681089,0.141408505,1.284753305,0.667161803,1.128279991,0.587191232,0.206497063,2.090362808,2.2252233,2.386077662,1.643280425,2.898542488,-20.1848558,1.181816894,1.003616125,1.600220553,1.069376784,1.421289262,0.906723985,1.419560879,2.179790926,1.047326418,1.721996022,1.869118818,2.199935773,1.790242954
3,2.93809881,73.53399187,1.540725932,0.726881117,1.07955933,0.235511397,1.645177885,1.820274766,1.222075088,0.692185626,0.139101935,1.107146885,1.643022739,0.91137259,0.411560357,3.088170506,58.06622765,1.229137274,1.03845221,1.76843617,0.833508807,2.671745026,2.072135304,1.802893489,1.336339602,1.388539608,1.786957687,2.099592014,2.060746752,2.234162359
4,1.928054464,19.2405749,1.087129283,1.68447351,1.116936571,0.714721961,1.495991287,0.767637237,1.59637049,1.559188372,0.943890949,1.269442648,0.823332896,1.301742583,1.240572351,0.095115698,37.98205803,1.140312223,0.331686049,1.206195885,0.418494077,1.516214439,1.672002232,0.896107223,1.542907385,0.520557503,1.112806656,1.032003041,0.370563867,0.767748065
5,2.530516136,7.511980576,1.680992733,0.301288279,1.54375453,0.850801188,1.24663543,0.915585803,1.182253216,1.232133799,1.407096076,1.923896342,1.80699292,1.747924079,1.373634261,2.561520022,45.70853442,0.589488469,0.880049963,0.455927629,0.606128707,0.977295488,0.5042768,0.926310429,1.030303079,0.823155786,1.437910377,1.123060654,0.75776374,1.494197856
6,1.865535441,2.742476531,0.773947904,1.217112593,0.43140951,0.457603372,0.562463336,0.320988244,1.634447563,1.070866214,0.270058018,0.233288937,0.557259322,0.784185124,0.810684978,2.259271098,-12.28323037,0.424726574,0.467892238,0.80395886,0.693623945,0.459607628,1.071025728,1.321111457,1.26652704,0.764817207,1.137606362,0.685516335,0.698087463,0.475509081
7,1.76210939,102.4740426,1.85537788,1.612604894,1.422456775,1.151350365,2.234323239,1.585932971,1.728527613,1.040359883,1.3202485,1.292102215,1.82295826,1.562881073,1.488395154,2.03280039,73.9627583,1.090362443,0.619907648,1.035759613,1.123235724,1.829027639,1.182020206,1.485786563,0.962196333,0.582643589,1.684402395,1.429500395,1.895742713,1.677691542
8,3.15592035,68.63154796,1.844257782,1.434711668,1.826686677,0.563019769,1.390599513,1.79637918,1.916488098,1.296425872,1.079535356,1.36699277,1.503204467,2.017837057,0.799374904,3.742624843,14.01105088,1.318644586,1.448999845,1.203293751,0.942316203,1.85500959,1.084972825,1.081215036,1.393723528,1.67055607,1.622262615,1.899200962,1.226459804,1.604566454
9,1.758783601,28.67251668,1.37238846,1.222291214,1.205633624,0.889787804,1.170228954,0.867875829,1.04901218,2.077270515,-0.088538925,1.584755406,1.446262822,0.859400279,1.590148923,3.190055248,53.56669682,1.770055115,1.461761811,1.577185861,1.196103386,1.639643794,1.340335039,1.249453298,1.606652624,0.960094556,2.281624533,1.779634476,1.743932584,2.198353268
10,1.707831598,84.7491246,0.696384429,1.208036641,0.906604722,1.107278372,0.989437592,0.948259492,1.611231715,1.455945354,1.241605145,1.628108534,1.16669076,2.187749904,1.520062024,2.820480971,101.130807,1.143470878,1.355469563,1.558821434,0.742971336,1.499976486,1.117654032,1.343031481,1.546848539,1.063304165,1.743528353,1.398963662,1.421063189,1.217704965
