ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13
1,1.45849576,79.13370557,0.956621551,1.413848681,1.060412239,1.251368828,1.02409056,1.546203125,1.8445519,1.234795887,1.330352193,0.896920434,1.51651678,0.395723039,0.487691977,2.756972957,21.47979585,0.99546596,0.945701341,0.775932475,1.091079963,1.824016517,1.489721824,1.257381317,1.255068577,1.297015435,1.095117036,1.71622966,0.759776981,0.514169976
2,1.495113574,41.20322182,0.37110267,0.37016114,0.445253034,1.073956809,-0.031500331,0.897998317,1.291402422,0.688211278,0.181328336,1.294132988,0.457067671,0.464036958,1.071499764,3.178740213,31.99493273,0.928370518,0.579075886,1.335446871,0.846006636,1.151954064,1.261143209,1.491532049,1.460518721,1.294455528,0.820376238,1.279328998,0.90343123,1.047963943
3,3.590886278,86.75691121,1.162846534,1.354555064,1.159295845,1.859886343,1.599043359,1.822549394,1.02721711,1.251233944,1.246022915,0.358954435,1.46416137,1.532810159,1.178517382,2.344231952,74.83121068,1.960431635,1.714784712,0.987121957,1.54128863,1.147909241,2.030213676,1.699680747,1.5109504,2.26925779,1.674688517,1.227621794,1.449433626,1.933648999
4,4.110368226,-10.73239884,2.541791799,2.235870253,1.750192218,1.930481646,2.545997739,2.166941437,2.189256295,1.242459966,1.586865742,1.185032243,2.217804581,0.897872791,1.199511628,2.45192638,34.76651238,1.734864636,1.777060815,1.362701333,1.600103152,1.34931718,1.279140629,1.074247261,0.647315894,0.793444563,0.6238294,1.163656511,0.799478072,0.742544931
5,1.852430832,77.75046909,1.033873599,2.197360742,1.74850905,1.777806176,1.773529655,1.822081293,1.756154115,1.514466957,2.002082705,1.661184165,1.64360208,1.002943553,0.925454533,2.36994059,34.947242,1.178208495,1.598611964,1.210644177,1.60864668,1.897115391,1.253110327,1.445065173,0.979795686,1.617331396,1.203232342,1.077477333,1.08762914,1.331461785
6,3.942199316,70.12141857,2.139635458,2.62136303,1.641709496,2.379492019,2.502885195,2.846083122,2.830161165,1.236983601,2.618574015,1.343015295,1.984772599,1.945767604,1.317035914,3.843003572,28.75310841,2.575537746,2.227185253,2.19740911,2.242434424,1.417854139,2.148287218,2.206820727,2.400856958,2.452848207,2.64457059,1.74485289,1.735357351,1.855447374
7,2.430975752,10.41784888,1.851225148,0.6495882,0.23941459,0.900772632,1.127960499,0.462979362,1.113064141,0.300497161,-0.299370481,0.266121448,0.705822842,1.05155561,0.189122781,2.994459031,-8.271017101,2.272657586,1.382864763,1.288708054,0.620279549,1.811138245,1.959271223,1.385343469,1.635022374,1.092216297,1.422346926,1.571448602,1.002374482,0.897272977
8,4.3057976,108.6204497,3.277609628,2.402355024,2.767402771,2.098288836,2.031107908,2.168041731,2.099300066,1.997936415,2.203098314,2.024775379,2.613846878,2.417687455,1.205082816,3.822926121,36.03250136,2.608711687,1.954287429,2.506408613,1.947462241,1.999619985,2.251695958,2.260565736,1.997554324,1.994543544,2.580846878,1.981105875,1.824411139,1.293227608
9,4.618009531,60.74109966,3.207508406,3.424593505,2.832183912,2.979594425,3.410953819,2.495704084,2.239584641,3.163969141,2.939732326,2.142428673,2.84064881,2.527525998,1.899121397,4.638587698,6.592930035,2.569038021,2.600664571,3.469187281,2.240958653,2.379456544,1.949747742,2.445480874,2.379846348,2.579238083,2.721870007,2.114314521,2.275879005,1.865891314
10,1.60784518,67.14847768,1.011908623,1.749393993,0.904987239,1.208355992,1.487560731,1.25456297,1.411332373,1.385815017,1.323999032,1.595747958,1.312358797,2.108387155,0.74234381,4.169209446,76.07970345,1.782274452,2.433028345,2.486016747,2.452257671,2.596598056,1.918955538,2.769644511,1.687006717,2.427790262,2.423755363,2.043084918,1.620832078,2.298508638
11,2.932676147,94.79161012,1.536587378,1.337016922,0.787146611,1.06299564,1.597695039,1.272950494,1.779578629,1.447450767,1.623216195,0.444254574,1.24553857,1.66413581,0.797555977,2.745867592,-32.22680259,1.2307061,1.829280635,1.442148298,1.514781522,0.904840915,1.473093651,1.738095788,0.820795647,1.593144506,1.400357874,1.064238638,0.564311375,0.687119257
12,3.015688775,50.1728253,0.454186883,1.179549049,1.421697639,1.112459803,0.487941834,1.151356924,0.820945422,0.55634954,1.426226944,1.68144553,0.850927723,1.25553611,0.506564279,3.251205153,61.8810334,0.378605141,1.995082997,0.786694201,1.653409616,2.160768613,2.034011119,2.263409443,2.031712859,1.885247429,1.579575851,1.588617206,1.336440254,1.117179156
13,1.572489353,28.4914354,1.47931929,1.479427292,1.745791816,1.943690413,1.237106137,1.690804275,1.616102834,0.710908703,1.828634374,1.69391808,0.729283107,1.860051567,1.291311386,2.289502569,54.44789377,0.591363661,1.145042013,1.505713484,1.442785663,1.527444467,0.895006467,1.441815013,1.043920337,1.367421933,1.205457539,1.090945409,0.965161954,1.169876057
14,2.292269602,82.72469105,1.973565895,1.713518569,0.266651582,1.513174292,1.707717709,0.644992951,1.600758136,1.575619548,0.927797228,1.427754345,1.127205443,0.865600126,1.064592573,3.103128216,105.6205336,2.244131539,1.358430245,1.403852478,1.472886545,1.931977636,1.808670003,2.402895445,1.471625159,1.527197445,1.808574479,1.141443082,1.502391569,1.305344602
15,2.721450303,43.07857018,1.657967674,1.712995493,1.977529801,2.001701428,1.514821279,1.831621035,2.303014742,1.305327459,1.93150186,2.276614522,2.179177762,1.133482635,1.622207725,2.772068329,11.9114261,1.429814127,1.651916127,1.040000205,1.611658329,1.472641734,1.851614938,1.473533075,1.218588222,1.120380208,1.011158393,1.444932894,0.812791019,1.296906985
16,2.466897283,-1.312411251,1.040849212,2.002451589,1.729573793,1.972067526,1.478366942,1.244540069,1.746773765,0.945603397,1.607984597,1.271053906,1.821193641,1.854558189,1.57186888,2.585022598,19.21330488,0.652480225,1.377838729,0.780776469,0.971823881,2.113226563,1.511937736,1.423269796,1.290805105,1.656868373,1.515240668,1.746451676,1.149673194,1.442672386
17,2.877945851,45.04944353,2.860144068,2.190032438,1.518723353,1.585425528,1.839680372,1.874822287,1.086010506,0.918177538,1.859480713,1.631922764,1.220020399,2.131846679,-0.104747225,2.497308387,37.12284728,1.64256221,1.834330045,1.178354775,1.41150837,1.833514721,0.983909843,1.185638798,0.891544134,0.557302703,1.00337555,0.654137815,0.570796825,0.378436903
18,3.734930715,21.3056434,2.410478726,1.818118013,1.507281153,2.18997853,1.949069463,1.918812108,2.142852344,1.203343818,1.320630334,1.095003117,0.64821636,1.413187378,1.503074526,3.434859433,-39.2312938,1.975447499,2.28536672,2.658160586,2.227482526,1.777296446,1.86660154,1.731896251,1.584751625,1.931772551,2.022299632,1.790673504,1.85435098,1.88075843
19,2.842857997,15.03366598,0.690724629,1.111249435,1.63771921,1.095712306,1.167798789,1.44301008,1.04950847,0.70287523,1.248243477,1.112800302,1.708278558,1.562070909,0.987237803,3.249804812,15.26081772,1.399899131,2.161085618,1.454078297,1.994091415,2.305138033,2.423540083,2.376409936,1.260752001,2.202617781,1.482451414,1.512441086,1.189150208,1.629743855
20,2.930265769,92.53203273,2.416742045,1.525320569,0.940062445,1.319995669,1.2964964,1.729325151,2.035048052,0.837014074,1.196920317,1.80695622,2.119646701,1.323515643,0.567943349,3.225732369,39.7711678,2.234745823,1.747630981,1.82473898,1.920444975,1.43743131,1.657381273,1.619265062,1.707548337,1.450748343,1.528069128,0.935099029,0.401853945,1.001117542
21,3.838889038,109.0696708,1.376959385,1.728980074,1.66864745,1.480757381,0.948249044,1.689708643,2.099583734,1.971594994,1.778125035,1.250122071,2.121617466,1.611337678,0.828638571,2.237660208,81.02208514,1.476901962,2.243629897,1.523328298,1.822732471,0.983736044,0.50921943,1.442097761,0.499285185,1.379104058,0.612797811,1.389172102,0.108123206,0.929534438
22,1.815006025,15.81390851,1.003188007,2.320970669,1.068382063,2.03383702,0.485261411,1.20064484,1.323615612,1.115301691,1.007413043,1.813530801,1.034773634,1.097790527,0.98331825,3.011494565,20.57215164,0.878422815,1.71706792,2.212683504,2.110081219,1.078311793,1.278758226,1.516887529,0.904318571,1.187718363,2.14819907,1.487376172,0.47181824,0.679024631
23,2.351950896,130.7566139,1.07173848,1.749799555,1.150453027,0.806421721,0.792423737,1.593165687,1.036339462,1.695450919,1.681666097,1.056522299,0.698144475,1.066520926,0.400805863,2.881328515,65.66035463,2.200517899,2.572231335,1.958253643,1.738220048,1.716846084,1.789068037,1.492113526,1.886647517,1.912985506,1.353070802,1.117714602,0.85526184,1.989424138
24,2.276202174,58.86509552,0.685296795,-0.030293992,0.808887499,1.002865889,0.452089166,0.748877078,1.549508117,-0.044976743,0.731907204,1.260389248,1.314467406,0.777727303,-0.440327951,3.058755971,64.96404102,1.698693341,1.225225588,0.77158825,1.163801738,1.169046845,1.660012704,1.28282527,0.46225682,0.5270526,0.686137951,0.43060812,0.075469382,0.968730866
