ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w3-16,w3-17,w3-18,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15,w4-16,w4-17,w4-18
1,2.136842214,66.67678745,1.848324217,1.248997512,1.423669196,2.177614398,1.644863369,1.333079642,1.437653375,1.844914764,1.83230742,1.840175917,1.446446075,0.825839644,1.627391768,1.658807839,1.574168357,1.105142896,1.561912034,0.838752518,2.668042787,73.77399021,1.769865164,1.763512362,1.792569778,1.403166379,1.540742584,1.483081615,1.803360493,1.998973582,1.623836759,1.598080768,1.845762506,1.947074733,1.138545412,1.45162102,2.810853202,1.614958197,1.252077575,1.890137242
2,2.608603881,49.68172255,1.95735706,1.775960047,1.574974072,2.025169732,1.780202972,1.894346494,1.734295074,2.057709633,1.026853696,1.746734965,2.0289082,1.761780493,2.049750272,1.902656832,2.213073861,2.215003805,1.930620902,1.343098902,3.617614086,-6.929380964,1.638574847,1.362512175,1.199772346,1.569706752,1.507286787,1.38667382,0.808755071,2.140855506,1.067617323,0.872780769,1.72795022,1.763586461,1.596622072,1.234530266,1.889926435,2.407282618,2.501659492,3.00452028
3,2.678241546,26.78173328,1.489106567,1.285981965,0.949170913,0.969276332,0.713823861,0.123205399,1.073895201,1.630061293,0.665848611,1.554524576,1.345798701,1.456194078,1.597149043,0.72863027,2.212325284,1.662486181,1.455672546,1.491063787,2.864841337,67.02259994,1.251521616,0.862309549,0.881787073,0.597665369,0.623383898,0.185649495,0.338319419,0.531225006,0.027589427,1.397856542,1.030332272,0.909717144,0.812151507,0.645445234,1.112036182,0.044371858,-0.303740555,0.003004649
4,3.950655,42.59589239,2.221755644,1.788754897,1.399290868,2.171315757,1.284292103,0.479259133,1.276197687,1.272126192,1.312630221,1.355306099,1.863184082,1.522879328,1.800288046,0.803018209,1.428460044,1.373621582,2.594403444,1.044778629,2.152997068,41.23924276,1.971754101,1.65406123,1.100226429,0.933873423,-0.225180012,1.043524643,1.277491936,1.135990899,1.390239697,1.601004097,1.244879838,1.679245123,0.947634531,0.80195316,-0.137071024,-0.371950242,-0.494553371,0.218447749
5,2.657846478,108.1675002,1.24734777,1.856127225,1.520330276,1.081881398,1.266739611,0.555115114,1.533133487,1.685339037,0.544698713,1.000387555,1.517573106,1.440708459,1.462616961,1.321095055,1.862693394,2.218371272,2.065194214,2.207605406,2.354298927,101.9002419,0.874228301,1.052463421,0.595260965,1.30213513,1.404969308,0.645989741,0.322008063,1.166067081,0.039415528,0.636850148,0.70585317,1.091900331,0.823806738,-0.030134016,1.75935541,2.265657417,1.455343782,1.717185157
6,1.56691619,71.37116808,1.468072003,1.424843723,0.454890187,0.814106417,0.742403322,0.930817978,1.221945741,1.266221904,1.023417278,1.032171219,1.434490427,0.821331459,1.413127735,0.894385852,1.063686437,0.836816888,1.185353706,1.125475121,2.032531668,82.76616178,1.410137397,1.293181287,1.322083714,0.705517907,0.909194694,0.610830804,1.087519573,0.864523776,0.642870869,-0.024303066,0.618923592,0.620216578,0.767922396,0.256127234,1.462961026,1.731113421,1.506537744,1.003543035
7,2.505851119,127.5171506,2.219034683,1.595714743,0.443301678,2.315887646,1.51756993,1.474687812,0.468672507,2.12988021,1.657399334,1.020110746,1.359138583,0.472378246,1.22035196,1.10804145,1.549615611,1.564166173,1.935405323,2.251342948,3.06900893,114.4647236,2.426053864,1.91784912,1.185066532,1.898543584,2.19152407,1.334258084,1.446727888,1.90840921,1.172384162,1.169282596,1.695708999,1.858087422,1.674246984,1.630430653,1.802365616,0.937484443,1.745380855,1.38588081
8,2.424363758,106.0695994,1.914465579,1.955021926,1.514555426,1.650412124,1.382253692,0.994769381,1.137623864,1.951653897,0.659998014,0.729669423,1.637606727,1.075253713,1.725093312,1.340655479,2.018004757,1.288858207,0.746763913,1.212984793,1.896499425,117.8225343,1.912179346,0.877264351,0.880947926,0.848901584,1.063998938,1.038219872,0.782181785,1.741489803,1.252720355,0.620836312,1.179370855,1.379550574,1.283741656,0.997062931,1.353248327,0.886956235,1.48109817,0.129758215
9,2.119483665,49.80274956,2.338898877,1.315156822,1.251886657,0.951702656,0.759076524,0.097287725,-0.171295705,2.296186149,0.762111999,1.434661026,1.154787047,1.64004328,1.787111329,1.257319901,2.135959097,1.248788406,1.18826353,0.334822061,3.49955823,82.82905402,1.717431586,1.297432694,0.928471243,1.257071636,1.657277644,1.199079943,0.931626075,2.571623295,1.143457899,1.430218763,1.855003709,1.57096999,2.432220837,2.074938475,2.097601758,2.389241325,2.435683343,1.734197353
10,1.977343023,95.08479912,1.661251452,1.762780156,1.672548949,1.45882617,1.609636479,2.218557881,1.659554332,1.794379729,0.702249768,0.753982909,1.287182857,1.138720258,1.742035976,1.902898258,2.456224785,1.099244843,1.088602203,1.15983378,3.232502652,61.7586804,1.15794448,1.415626571,1.831942688,1.871272076,1.64807527,1.679144438,0.754393758,1.937600652,0.978393507,1.15912849,1.316363586,1.438681838,1.874976747,1.532091521,2.024282687,1.307665027,1.33478855,1.388349558
