ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w3-11,w3-12,w3-13,w3-14,w3-15,w3-16,w3-17,w3-18,w3-19,w3-20,w3-21,w3-22,w3-23,w3-24,w3-25,w3-26,w3-27,w3-28,w3-29,w3-30,w3-31,w3-32,w3-33,w3-34,w3-35,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10,w4-11,w4-12,w4-13,w4-14,w4-15,w4-16,w4-17,w4-18,w4-19,w4-20,w4-21,w4-22,w4-23,w4-24,w4-25,w4-26,w4-27,w4-28,w4-29,w4-30,w4-31,w4-32,w4-33,w4-34,w4-35
1,2.274289209,70.06056338,1.549701179,1.624772631,1.563401537,1.863789777,1.428199729,0.66763969,0.519129991,1.135212908,0.570567631,1.014631294,2.231694403,1.389284818,2.330838499,0.776969601,0.522547512,1.49936682,1.355854181,2.463135756,0.428900633,1.294127633,1.168878844,1.088212539,1.940710341,2.133450468,1.46382134,1.765201985,1.370120113,0.629737268,1.210523768,0.992038274,1.345926559,1.420613869,1.285788886,1.015153623,1.019274209,3.268204333,18.51100574,2.305061786,2.375561857,1.388766465,1.99431899,2.460493819,2.150645586,2.128752115,1.99088302,2.44264005,1.450434632,1.071206957,2.129829236,2.065320753,1.596970393,2.590164302,2.239083504,1.044870309,2.085711703,1.543147865,2.51914196,1.83990404,2.492252654,1.843885034,2.643555334,2.001766923,1.744329318,1.901060172,2.264999416,2.5091534,1.944913208,1.669974448,1.81273028,1.77642268,1.951094209,1.774959837
2,2.43342988,73.2455907,1.618704197,1.635293193,0.259091842,1.778111736,1.176415904,1.266824307,1.543937835,1.381473897,0.816452326,1.194901251,0.198021385,2.420533682,1.377122037,1.30099129,1.440510159,1.029086947,2.670296421,1.616133304,0.634159281,1.323632774,1.222626405,2.007432504,1.067777343,1.464840108,1.344303778,1.384541807,1.903094024,1.477907971,1.32018799,1.439621879,1.639304805,1.878419135,2.285927208,1.880767834,0.842976658,3.763273995,75.96698234,1.936646995,2.228403746,1.39915255,2.109650777,1.592764518,1.411186284,1.900817915,1.560793379,1.443650179,1.482114233,1.425941703,2.286934464,1.983973421,2.063278141,2.187023961,1.250105146,1.583371537,2.206573451,0.732616046,1.636507381,2.14321856,2.66938399,2.32878274,2.529194607,2.348875108,2.247120977,2.036613648,1.78465959,2.368279644,2.376581971,2.561002679,2.109068362,2.438807611,2.372953422,2.250823655
3,2.994117788,33.39248458,1.116623866,1.540790442,1.518270584,1.482813254,2.03076102,1.309376718,1.8795797,1.001833844,1.617483322,1.490487075,0.489457586,0.979802052,0.814129557,1.351219656,1.917608243,2.186540605,1.609663488,1.669044924,1.107101812,1.295279661,1.472666541,1.178838964,1.299236929,1.353266995,1.779804676,1.589321876,1.675299929,2.485972549,1.171089111,1.055279458,0.837045964,1.519407594,0.805842918,1.170829159,2.843330866,2.752673872,38.23723953,0.58013291,1.309448217,1.180344455,1.099942907,0.808922954,0.690786056,0.412729506,0.39850526,1.390279526,1.904647471,1.046073634,1.048846863,1.11020254,1.534582455,1.048660248,0.468541853,1.754140061,1.041923065,1.011844574,1.351923105,1.330165715,1.296830647,1.077604484,0.915485289,0.528649883,0.93282652,1.804365117,1.644181049,1.798439571,2.121212577,1.373852918,1.688429346,1.175068126,0.965877259,0.870929978
4,5.820066715,39.45245879,2.822094886,2.516187684,1.867459722,2.537434193,1.475156288,2.054446255,2.463334135,2.029130535,1.673707123,1.477482884,1.374720989,2.745428188,2.305621957,3.434255818,2.89749725,2.178956116,1.877746773,2.106380438,1.910594173,1.812671227,2.002599091,2.336460854,1.387208049,2.336012962,2.549775051,2.401973818,2.910790055,2.736211902,2.248850533,1.546969016,2.566231266,1.747324846,1.848723932,1.769059294,1.916184015,5.529944499,24.19719106,2.881378797,2.357526542,3.126098981,2.293862249,2.65135854,2.695558809,2.666700045,2.494056417,2.467963364,2.803697387,2.630991518,2.223475725,2.512177835,2.440443803,2.406180049,2.973607025,1.779550172,2.625588467,1.885638803,2.811684808,3.168619685,1.99114624,1.604806938,1.930355411,2.554545244,2.140409549,2.056652521,2.328437984,2.348100886,2.395500153,2.346586703,2.709466709,1.618874991,2.377782244,2.610900999
5,1.398779005,24.4944492,1.268477423,0.771465304,0.949892672,1.552147444,1.209976673,1.049946894,0.610511013,0.913082167,0.657414443,0.385024242,0.661644815,2.16441612,1.771930133,2.440080367,1.461563267,1.184671949,1.594266396,-0.299930088,0.373515772,1.226524885,0.990899463,1.817539822,0.909879672,2.097891828,1.502552704,1.388298754,0.660600507,1.208732955,1.058958328,2.360094478,1.272664305,1.779690832,1.29938711,1.934315328,0.937040195,1.892251822,33.79579563,0.711337199,1.340799329,1.674971536,1.279302717,0.940410862,0.862640409,0.909891144,1.42816452,0.527794854,1.035940739,0.588676966,1.464325812,1.400871713,1.375322552,1.648547789,1.450318258,1.212432762,1.729643195,0.174402226,0.074564216,0.834103532,1.600742724,1.993133493,1.82153996,1.399153716,1.600545986,2.024948543,1.809053336,1.896393863,1.885241046,1.521188756,1.744254682,1.823221009,1.476460749,1.148610967
6,2.270114498,48.46352389,0.901740636,1.127000758,0.959687998,1.238201817,1.284270751,1.402848973,1.765592533,1.378737962,1.568850079,0.502169741,-0.001606913,1.437056362,0.551140503,1.000156765,0.659946098,-0.31572803,1.0905344,0.902325061,1.734684834,0.747903945,1.322911041,1.013606863,0.203811332,0.837840024,1.095292682,0.255275589,0.86720053,1.094112175,1.042354306,0.78747906,1.006644478,0.110569365,1.470857542,0.946120214,0.898590425,2.319136458,60.3644323,1.006182972,1.265647519,1.05303362,1.238376791,1.28400694,1.021450931,1.056263892,0.875313098,1.172789639,0.742244562,1.679173764,0.94302135,0.181967449,0.707062829,0.789487444,1.331090612,0.693558256,0.380375331,0.851380132,0.969174628,1.483814233,1.184495741,1.238694853,1.255599883,1.315596543,0.801947828,0.577177085,0.632448815,0.747205912,1.109294215,0.912419373,0.827780602,1.766942377,1.348328331,0.872916798
7,3.433030567,54.58324541,1.844002072,2.113287576,2.252605592,1.544529545,1.455558752,2.08942612,2.288965704,2.057414035,1.74646443,1.720554764,0.417836527,1.877842824,2.528083648,1.910291056,2.302179823,1.10840289,1.041463334,1.76298626,1.080678701,1.099918216,1.772130131,1.577376856,2.13307664,2.10004677,1.523850394,1.807230549,0.719163974,1.509446565,1.48266101,1.460746433,1.736418268,0.601170346,1.740873707,1.575266225,0.810604143,3.642895033,51.12560302,2.233158168,2.272076246,2.537105566,2.440663586,1.606995859,2.229170524,1.844069042,2.138383056,1.553885746,2.035828836,1.865866883,2.268976329,1.907250785,2.6237311,2.396055624,2.544808229,2.258605792,1.402563172,2.057231052,2.673263161,2.06639438,2.184527875,2.651578595,2.309700662,2.478295303,2.851878184,1.939312242,2.753324508,1.82154574,1.565371129,2.086427885,2.233985949,2.17033013,1.847221696,1.582656546
8,1.375986073,104.9624961,1.557430998,1.169219819,0.725305537,1.046231968,1.534290408,0.944483926,1.797927079,1.24479861,0.481977291,0.834944328,-0.047578793,2.106097224,2.467658828,2.014032713,1.597122793,1.571838998,0.755921703,1.794526068,1.172310801,1.288840855,0.605406813,1.095111648,0.841401901,0.323178133,0.9658359,1.182331935,1.438693322,1.085548842,1.258632105,1.157532662,0.830895058,1.092340304,1.642797273,1.601311339,1.129624339,2.158390165,8.814315545,0.951916499,1.040044925,0.824316179,1.538889658,1.276546004,1.039721384,0.649144302,1.103177196,0.958461486,0.540676759,1.469074879,1.723985844,1.89437349,1.791919433,2.410663594,1.812896191,1.0055388,1.303247535,2.20079269,0.794165718,1.209512277,0.959876346,1.283625941,1.476742792,0.675018155,1.644139475,0.896183323,1.693485171,1.283311375,1.33897305,1.311445437,1.255176974,1.233189506,1.064664348,1.147692339
9,1.385662614,24.09178684,1.367954478,1.611100384,1.327941564,2.124467006,1.503360426,1.634139961,1.5764679,2.073121363,1.12780071,1.573050051,0.68147046,1.204926525,0.759600705,0.734082942,1.239650419,0.82463734,1.475486514,1.257602211,0.524128787,1.765418279,1.387024254,1.926534902,1.847524826,1.796785698,1.888825763,1.7555615,2.250328091,2.201593244,1.734486106,1.337029093,1.608166374,1.500798998,1.458650258,1.489845968,1.461420213,3.321511064,-34.50016988,1.683786209,2.441503534,1.681362049,1.784305355,1.207516068,0.845418172,1.414485334,1.176947845,1.460068274,1.553534322,1.21098928,2.342189009,1.628765101,1.587639113,2.181973742,1.588464235,2.110858711,2.013798362,0.110096852,1.681609103,0.982597523,2.735354847,1.751273562,2.056763652,1.937571006,1.847816239,2.373184144,2.023141819,2.682409546,2.634765059,1.748029005,2.148265928,2.620352878,2.028408258,1.899107516
10,1.023256194,41.74900054,1.75781611,1.859577692,0.834136441,1.766401715,0.791065282,1.255029596,1.377765505,1.539977622,0.754867293,1.511807674,-0.184939397,1.425261496,1.840299879,1.066972957,0.623070013,1.165422473,2.222302098,0.985288906,-0.456086295,0.804018638,0.919965221,1.523846465,1.596215829,0.894921931,1.807753136,1.309940721,2.032226013,1.913315723,1.505951127,2.02430052,1.454940948,1.634048668,1.423280325,1.451694198,1.929399099,2.955775603,-35.34938806,1.375017116,1.431820023,1.339954342,2.472464761,2.094043279,1.609792586,1.337182828,1.46746136,1.581551876,1.399603604,0.741098653,2.073597975,1.139865691,1.305431712,2.031742115,1.242909183,1.48862379,2.161514056,1.121037387,1.565990147,1.175249715,2.053199795,1.935455968,2.283127639,1.29863405,1.597847219,2.211106297,1.796410056,2.296903216,1.769785324,1.534684674,2.337264174,2.340845906,1.491262008,1.569617543
