ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8
1,3.281668051,26.65229251,1.992739933,1.324191163,1.618967607,1.089716313,0.99065366,1.206524099,1.114572077,0.392381709,2.378520289,-7.124079279,1.28553467,0.761529195,1.287236228,1.484288937,1.23993909,0.850024282,1.156712275,1.198281833
2,2.637524855,47.80839918,0.706591678,1.722913145,1.328751897,1.632034102,0.298762185,0.683803519,1.966659333,1.266569376,3.82030091,47.83794536,0.951819141,0.826031175,0.928553881,1.745980285,0.947746826,1.003505273,1.503206995,1.748443225
3,2.639749384,35.42490064,1.013076611,1.922788192,2.011384757,1.801092663,1.376955356,0.996176033,1.617352431,1.146795145,3.046567736,53.06782387,1.464459071,1.679163568,2.336928797,1.485013324,1.483443773,1.685767471,1.326494879,2.46051438
4,2.156348806,-1.875390222,1.358716134,0.921838767,0.343937263,0.552488123,0.354355951,0.720979382,0.66729651,-0.336833161,3.508574315,34.81609991,1.39929346,0.845036345,1.647244044,2.031126686,1.6641282,1.292367785,2.171654253,1.493451572
5,1.628566878,26.46102098,1.615534434,1.632736068,1.123132029,1.531706648,0.881284577,0.429283745,0.501817161,0.563864961,1.736250623,81.28805265,1.635915712,1.283859988,0.689035247,1.046210511,1.450425534,1.227830584,1.933369482,0.42893714
6,2.532616129,20.89858246,2.188780345,2.237288084,0.80869544,1.333209265,1.55595008,2.048244104,1.128438666,1.570561459,1.931632578,36.78349685,1.58043787,1.492031479,0.75917775,1.53730452,0.609650878,1.650351634,2.03187776,1.534356036
7,2.633272703,67.14722234,1.884406239,1.052906946,-0.137885313,1.203691574,1.790049042,2.102945393,1.164109249,0.938964934,2.72083701,22.86685473,1.149319168,2.089380028,1.502393508,1.491993732,0.762888358,1.442368056,1.82754676,2.078552759
8,2.863399556,66.23651279,1.690653181,1.157105471,1.048632866,2.281035834,0.742764845,0.56014731,0.164628893,0.990226173,2.236468567,26.78102623,1.067994056,0.737568174,0.764634954,0.694281083,0.332360958,1.374241021,0.819148943,1.051658559
9,2.105851948,4.937304942,1.75468827,0.702494155,1.009492518,2.53560533,1.6337879,0.602337359,2.101845764,1.617449931,2.951291958,-6.128507516,1.474862094,1.561313692,1.522485265,1.603558577,2.128329762,1.997264229,2.305035771,1.873991503
10,2.529036378,49.2837367,0.776278965,1.010257261,-0.05498672,1.788803787,0.54802286,0.953182858,1.780788201,2.162715898,2.326632386,29.76417008,1.257338473,1.299224625,1.193816973,1.019005207,0.972873814,1.048547732,1.349858911,1.877693462
11,3.048750902,18.21940325,1.462993416,1.927521138,1.031621548,1.05606233,0.973422857,1.377101213,1.507938537,0.709782361,3.720596309,12.7953837,1.056612754,0.979766003,1.427854808,1.369797946,1.751127082,1.921015173,2.029878185,2.067062677
12,3.942184973,57.07953837,2.227504768,1.944972482,0.626196978,3.058148769,1.990657824,2.072920857,2.189429874,1.85174148,4.370810246,26.44386077,2.105407726,2.695523471,2.803370737,2.148893734,1.608400511,2.305536338,1.710054737,2.191175559
13,1.393499891,34.28731475,1.107846459,0.608127909,-0.089025621,1.202119055,0.619607593,0.691598836,0.687878962,1.397159892,2.287869386,-12.35958868,0.335718792,1.195232694,1.078514594,0.450026487,0.967803259,0.952325193,0.925643653,1.811822671
14,1.895568262,41.74611519,1.443051285,0.826183292,1.479960672,1.093390944,1.672366798,0.461483672,1.080206041,1.664414942,5.148750051,26.25798631,1.8984285,2.765819512,2.00619311,2.269036376,2.520270759,2.326774683,2.011258909,2.201956497
15,3.506258133,58.75991357,1.336387526,1.280556555,1.010683608,0.905290518,1.968981447,1.28393393,2.144446924,0.937506845,3.80260937,28.03055821,2.623656955,2.220286831,1.769566554,2.810044966,2.885587678,2.407976885,2.61293411,1.853678855
16,3.365859323,54.56575474,2.01083875,2.540533973,1.034326113,1.755445,1.300118881,1.902985361,1.840439263,2.227056404,2.322532652,76.51608402,1.89958624,1.359967638,1.052608699,1.330911397,0.378977083,0.964903427,0.981020501,1.397828777
