ID,w3-assessemnt-result,w3-reflection-length,w3-1,w3-2,w3-3,w3-4,w3-5,w3-6,w3-7,w3-8,w3-9,w3-10,w4-assessemnt-result,w4-reflection-length,w4-1,w4-2,w4-3,w4-4,w4-5,w4-6,w4-7,w4-8,w4-9,w4-10
1,2.36155988,48.88076375,0.837993291,1.310983902,1.419874682,1.149405008,0.683081225,0.080795066,1.163722971,1.123742953,0.649955638,1.092540938,2.40012477,22.5334292,1.975762167,2.010713272,1.215073112,1.32720364,1.240384005,0.953331104,1.237676245,2.211020402,1.441590631,0.791586025
2,1.730290589,18.61610333,1.673292734,0.181243818,0.713360062,0.77236377,1.188147717,1.140289495,0.503583388,1.305084765,0.836395078,1.454537943,1.410459467,46.04231231,0.8995941,0.453075639,0.37383693,0.837351805,0.700979809,0.982663162,1.268679921,0.660570502,0.812745917,1.539754236
3,2.289198888,51.35542258,1.535222667,1.540520814,1.686644104,2.126681593,1.93048356,1.673581694,1.626621391,0.891997807,0.838356321,1.154036282,1.640162822,71.32243862,1.098162358,1.039893964,1.482042027,1.781955594,1.338341962,1.313638959,1.467460575,1.28295844,1.016370379,1.321285773
4,1.295743694,40.91715076,-0.084453868,0.924969446,0.982654991,0.902033055,0.02399339,0.995467688,0.890526143,0.510260036,0.828200691,-0.140117618,2.150298806,9.156360242,1.500125157,1.669779146,2.021580059,1.614175778,1.55279632,1.597453837,1.527721772,0.925830173,1.071430181,0.461319899
5,1.792063152,50.25722228,0.208446576,0.863986576,1.83840366,2.155992738,1.017300245,2.217034586,1.792714649,1.565556055,0.727218598,0.327987639,2.099381898,64.05010156,0.871182746,0.93878309,1.690852628,2.479440066,2.203978507,1.487283659,1.484987998,1.470561754,1.310863902,1.661779449
6,2.215832112,49.74447463,1.260038927,1.204047029,2.085343286,1.68669076,1.012217052,1.251974188,0.866228595,2.143147013,0.29284015,1.219160049,2.787043377,99.93078172,1.30813311,0.665001088,1.0800585,1.379282051,1.445254246,1.637891125,2.280713807,0.939917,0.809076511,0.867882819
7,4.54179252,98.25308385,2.465720468,1.856152803,2.15403088,3.088236464,2.675804437,2.484130533,2.370719866,3.151976775,1.793175585,2.379021493,3.227544711,1.222018451,1.810466886,1.214377195,1.817955883,2.372556848,1.6873273,1.331691489,1.844940132,1.48585428,1.598030432,1.967548565
8,4.013580019,42.21451519,1.133413141,2.43114517,2.211779353,3.23746405,1.919597965,1.627407051,2.414600947,2.178890739,0.65761718,1.800759117,3.883690585,87.77247601,2.128632378,2.226104224,2.03505242,1.952655046,1.999270635,1.999059835,2.437068594,2.290603778,2.709594912,3.048360681
9,3.204293228,89.19157957,0.663157523,1.371821981,1.778170891,1.87315979,1.91935352,1.376390016,1.793094646,1.724577085,0.532394569,1.209177423,3.829438112,43.40507442,1.592654795,1.932578846,2.405873205,2.473709667,3.178874634,1.862420071,1.558138602,1.538626947,2.853182841,2.085808281
10,4.306055132,63.79986261,1.391359639,1.201354428,2.060390321,2.394797583,2.204178051,2.155834933,2.554114199,0.898095994,0.935836231,1.751092081,3.478062552,112.4383543,0.675281482,1.19461553,1.863825712,2.051123141,1.880433372,2.014878271,1.841724417,1.86965465,1.073097777,2.042897671
